"col0","URL for col0","source","URL for source","sink","URL for sink","col3"
"access to field _payload_110_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.10P_CoreDataflow_PolymorphicRefIsolation_110_P.cs:36:33:36:46","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.10P_CoreDataflow_PolymorphicRefIsolation_110_P.cs:30:26:30:49","access to field _payload_110_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.10P_CoreDataflow_PolymorphicRefIsolation_110_P.cs:36:33:36:46"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.10P_CoreDataflow_PolymorphicRefIsolation_110_P.cs:30:26:30:49 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.10P_CoreDataflow_PolymorphicRefIsolation_110_P.cs:36:33:36:46"
"access to field _payload_11_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.1P_CoreDataflow_Property_GetSource_11_P.cs:23:37:23:49","access to property text : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.1P_CoreDataflow_Property_GetSource_11_P.cs:17:29:17:43","access to field _payload_11_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.1P_CoreDataflow_Property_GetSource_11_P.cs:23:37:23:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.1P_CoreDataflow_Property_GetSource_11_P.cs:17:29:17:43 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.1P_CoreDataflow_Property_GetSource_11_P.cs:23:37:23:49"
"object creation of type Vector3","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.2P_CoreDataflow_Property_SetSink_12_P.cs:20:30:20:61","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.2P_CoreDataflow_Property_SetSink_12_P.cs:15:37:15:60","object creation of type Vector3","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.2P_CoreDataflow_Property_SetSink_12_P.cs:20:30:20:61"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.2P_CoreDataflow_Property_SetSink_12_P.cs:15:37:15:60 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.2P_CoreDataflow_Property_SetSink_12_P.cs:20:30:20:61"
"object creation of type Vector3","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.3P_CoreDataflow_Property_SetSink_Rigidbody_13_P.cs:22:24:22:55","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.3P_CoreDataflow_Property_SetSink_Rigidbody_13_P.cs:17:37:17:65","object creation of type Vector3","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.3P_CoreDataflow_Property_SetSink_Rigidbody_13_P.cs:22:24:22:55"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.3P_CoreDataflow_Property_SetSink_Rigidbody_13_P.cs:17:37:17:65 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.3P_CoreDataflow_Property_SetSink_Rigidbody_13_P.cs:22:24:22:55"
"access to field _payload_14_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.4P_CoreDataflow_Property_NetworkDownload_14_P.cs:27:41:27:53","access to property text : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.4P_CoreDataflow_Property_NetworkDownload_14_P.cs:25:29:25:57","access to field _payload_14_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.4P_CoreDataflow_Property_NetworkDownload_14_P.cs:27:41:27:53"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.4P_CoreDataflow_Property_NetworkDownload_14_P.cs:25:29:25:57 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.4P_CoreDataflow_Property_NetworkDownload_14_P.cs:27:41:27:53"
"access to field _payload_15_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:26:37:26:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:15:25:15:53","access to field _payload_15_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:26:37:26:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:15:25:15:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:26:37:26:49"
"access to field _payload_15_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:26:37:26:49","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:20:25:20:48","access to field _payload_15_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:26:37:26:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:20:25:20:48 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.5P_CoreDataflow_MultiSource_TwoSources_15_P.cs:26:37:26:49"
"access to field _payload_16_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:20:37:20:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:14:25:14:53","access to field _payload_16_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:20:37:20:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:14:25:14:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:20:37:20:49"
"access to field _payload_16_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:26:61:26:73","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:14:25:14:53","access to field _payload_16_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:26:61:26:73"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:14:25:14:53 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.6P_CoreDataflow_MultiSink_OneField_16_P.cs:26:61:26:73"
"access to local variable _payload_17_P_T","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.7P_CoreDataflow_Barrier_Chain_17_P.cs:21:33:21:47","call to method GetCmdArgs : String[]","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.7P_CoreDataflow_Barrier_Chain_17_P.cs:15:25:15:48","access to local variable _payload_17_P_T","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.7P_CoreDataflow_Barrier_Chain_17_P.cs:21:33:21:47"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.7P_CoreDataflow_Barrier_Chain_17_P.cs:15:25:15:48 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.7P_CoreDataflow_Barrier_Chain_17_P.cs:21:33:21:47"
"call to method GetNetworkInput","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.8P_CoreDataflow_DirectPass_18_P.cs:13:33:13:61","call to method GetNetworkInput","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.8P_CoreDataflow_DirectPass_18_P.cs:13:33:13:61","call to method GetNetworkInput","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.8P_CoreDataflow_DirectPass_18_P.cs:13:33:13:61"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.8P_CoreDataflow_DirectPass_18_P.cs:13:33:13:61 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.8P_CoreDataflow_DirectPass_18_P.cs:13:33:13:61"
"access to local variable _payload_19_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.9P_CoreDataflow_LocalVar_19_P.cs:14:54:14:66","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.9P_CoreDataflow_LocalVar_19_P.cs:13:32:13:55","access to local variable _payload_19_P","src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.9P_CoreDataflow_LocalVar_19_P.cs:14:54:14:66"," | SourceLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.9P_CoreDataflow_LocalVar_19_P.cs:13:32:13:55 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category1-CoreDataflow/1.9P_CoreDataflow_LocalVar_19_P.cs:14:54:14:66"
"access to field _payload_210_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.10P_ObjectIdentityHeap_GenericWrapperField_210_P.cs:27:33:27:46","call to method GetUIInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.10P_ObjectIdentityHeap_GenericWrapperField_210_P.cs:21:24:21:47","access to field _payload_210_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.10P_ObjectIdentityHeap_GenericWrapperField_210_P.cs:27:33:27:46"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.10P_ObjectIdentityHeap_GenericWrapperField_210_P.cs:21:24:21:47 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.10P_ObjectIdentityHeap_GenericWrapperField_210_P.cs:27:33:27:46"
"access to field _payload_211_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.11P_ObjectIdentityHeap_ReceiverSame_211_P.cs:11:49:11:62","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.11P_ObjectIdentityHeap_ReceiverSame_211_P.cs:12:52:12:80","access to field _payload_211_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.11P_ObjectIdentityHeap_ReceiverSame_211_P.cs:11:49:11:62"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.11P_ObjectIdentityHeap_ReceiverSame_211_P.cs:12:52:12:80 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.11P_ObjectIdentityHeap_ReceiverSame_211_P.cs:11:49:11:62"
"access to field _payload_212_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.12P_ObjectIdentityHeap_NestedHelper_212_P.cs:14:54:14:67","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.12P_ObjectIdentityHeap_NestedHelper_212_P.cs:13:45:13:73","access to field _payload_212_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.12P_ObjectIdentityHeap_NestedHelper_212_P.cs:14:54:14:67"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.12P_ObjectIdentityHeap_NestedHelper_212_P.cs:13:45:13:73 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.12P_ObjectIdentityHeap_NestedHelper_212_P.cs:14:54:14:67"
"access to field _payload","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.13N_ObjectIdentityHeap_OwnedHelper_Reset_213_N.cs:11:53:11:60","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.13N_ObjectIdentityHeap_OwnedHelper_Reset_213_N.cs:18:34:18:62","access to field _payload","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.13N_ObjectIdentityHeap_OwnedHelper_Reset_213_N.cs:11:53:11:60"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.13N_ObjectIdentityHeap_OwnedHelper_Reset_213_N.cs:18:34:18:62 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.13N_ObjectIdentityHeap_OwnedHelper_Reset_213_N.cs:11:53:11:60"
"access to field _payload","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.15P_ObjectIdentityHeap_OwnedHelper_NestedState_215_P.cs:12:54:12:61","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.15P_ObjectIdentityHeap_OwnedHelper_NestedState_215_P.cs:19:34:19:62","access to field _payload","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.15P_ObjectIdentityHeap_OwnedHelper_NestedState_215_P.cs:12:54:12:61"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.15P_ObjectIdentityHeap_OwnedHelper_NestedState_215_P.cs:19:34:19:62 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.15P_ObjectIdentityHeap_OwnedHelper_NestedState_215_P.cs:12:54:12:61"
"call to method Read","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.17P_ObjectIdentityHeap_OwnedHelper_Return_217_P.cs:18:44:18:57","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.17P_ObjectIdentityHeap_OwnedHelper_Return_217_P.cs:17:34:17:62","call to method Read","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.17P_ObjectIdentityHeap_OwnedHelper_Return_217_P.cs:18:44:18:57"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.17P_ObjectIdentityHeap_OwnedHelper_Return_217_P.cs:17:34:17:62 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.17P_ObjectIdentityHeap_OwnedHelper_Return_217_P.cs:18:44:18:57"
"call to method Read","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18N_ObjectIdentityHeap_OwnedHelper_NestedDefiniteClean_218_N.cs:19:44:19:57","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18N_ObjectIdentityHeap_OwnedHelper_NestedDefiniteClean_218_N.cs:18:34:18:62","call to method Read","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18N_ObjectIdentityHeap_OwnedHelper_NestedDefiniteClean_218_N.cs:19:44:19:57"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18N_ObjectIdentityHeap_OwnedHelper_NestedDefiniteClean_218_N.cs:18:34:18:62 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18N_ObjectIdentityHeap_OwnedHelper_NestedDefiniteClean_218_N.cs:19:44:19:57"
"call to method Read","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18P_ObjectIdentityHeap_OwnedHelper_ConditionalClean_218_P.cs:19:44:19:57","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18P_ObjectIdentityHeap_OwnedHelper_ConditionalClean_218_P.cs:18:34:18:62","call to method Read","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18P_ObjectIdentityHeap_OwnedHelper_ConditionalClean_218_P.cs:19:44:19:57"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18P_ObjectIdentityHeap_OwnedHelper_ConditionalClean_218_P.cs:18:34:18:62 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.18P_ObjectIdentityHeap_OwnedHelper_ConditionalClean_218_P.cs:19:44:19:57"
"access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.19P_ObjectIdentityHeap_Instance_SameReceiver_219_P.cs:14:22:14:50","access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.19P_ObjectIdentityHeap_Instance_SameReceiver_219_P.cs:14:22:14:50 | SinkCallLoc: src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40"
"access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.19P_ObjectIdentityHeap_Instance_SameReceiver_219_P.cs:14:22:14:50","access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.19P_ObjectIdentityHeap_Instance_SameReceiver_219_P.cs:14:22:14:50 | SinkCallLoc: src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40"
"access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.20N_ObjectIdentityHeap_Instance_DistinctReceivers_220_N.cs:15:22:15:50","access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.20N_ObjectIdentityHeap_Instance_DistinctReceivers_220_N.cs:15:22:15:50 | SinkCallLoc: src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40"
"access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.21P_ObjectIdentityHeap_Instance_AliasedReferences_221_P.cs:15:22:15:50","access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.21P_ObjectIdentityHeap_Instance_AliasedReferences_221_P.cs:15:22:15:50 | SinkCallLoc: src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_InstanceBuffer.cs:15:33:15:40"
"access to field _payload_21_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.1P_ObjectIdentityHeap_Reader_CrossClass_StaticField_21_P.cs:15:37:15:49","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.1P_ObjectIdentityHeap_Writer_CrossClass_StaticField_21_P.cs:11:42:11:70","access to field _payload_21_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.1P_ObjectIdentityHeap_Reader_CrossClass_StaticField_21_P.cs:15:37:15:49"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.1P_ObjectIdentityHeap_Writer_CrossClass_StaticField_21_P.cs:11:42:11:70 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.1P_ObjectIdentityHeap_Reader_CrossClass_StaticField_21_P.cs:15:37:15:49"
"access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_StaticInstanceBuffer.cs:15:33:15:40","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.22P_ObjectIdentityHeap_Instance_StaticShared_222_P.cs:15:22:15:50","access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_StaticInstanceBuffer.cs:15:33:15:40"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.22P_ObjectIdentityHeap_Instance_StaticShared_222_P.cs:15:22:15:50 | SinkCallLoc: src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_StaticInstanceBuffer.cs:15:33:15:40"
"access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_StaticInstanceBuffer.cs:15:33:15:40","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.22P_ObjectIdentityHeap_Instance_StaticShared_222_P.cs:15:22:15:50","access to field _payload","src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_StaticInstanceBuffer.cs:15:33:15:40"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.22P_ObjectIdentityHeap_Instance_StaticShared_222_P.cs:15:22:15:50 | SinkCallLoc: src/Assets/Scripts/_TestCases/Helper/ObjectIdentityHeap_StaticInstanceBuffer.cs:15:33:15:40"
"access to field _payload_22_N","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2N_ObjectIdentityHeap_Reader_CrossClass_InstanceField_22_N.cs:17:58:17:70","call to method GetCmdArgs : String[]","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2N_ObjectIdentityHeap_Writer_CrossClass_InstanceField_22_N.cs:12:57:12:80","access to field _payload_22_N","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2N_ObjectIdentityHeap_Reader_CrossClass_InstanceField_22_N.cs:17:58:17:70"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2N_ObjectIdentityHeap_Writer_CrossClass_InstanceField_22_N.cs:12:57:12:80 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2N_ObjectIdentityHeap_Reader_CrossClass_InstanceField_22_N.cs:17:58:17:70"
"access to field _payload_22_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2P_ObjectIdentityHeap_Reader_CrossClass_InstanceField_22_P.cs:17:41:17:53","call to method GetNetworkInput : String","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2P_ObjectIdentityHeap_Writer_CrossClass_InstanceField_22_P.cs:12:57:12:85","access to field _payload_22_P","src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2P_ObjectIdentityHeap_Reader_CrossClass_InstanceField_22_P.cs:17:41:17:53"," | SourceLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2P_ObjectIdentityHeap_Writer_CrossClass_InstanceField_22_P.cs:12:57:12:85 | SinkCallLoc: src/Assets/Scripts/_TestCases/Category2-ObjectIdentityHeap/2.2P_ObjectIdentityHeap_Reader_CrossClass_InstanceField_22_P.cs:17:41:17:53"
