id,category,required_jobs,detected_jobs,detected,elapsed_seconds
S01,security,S01A;S01B,S01B,False,867.8
S02,security,S02,,False,104.9
S03,security,S03,,False,233.1
S04,security,S04,S04,True,216.1
S05,security,S05A;S05B,S05B,False,556.5
S06,security,S06,,False,96.8
S07,security,S07,,False,92.8
S08,security,S08B;S08C;S08JS,,False,130.9
S09,security,S09,,False,72.0
S10,security,S10,S10,True,202.0
S11,security,S11,S11,True,264.0
S12,security,S12,,False,84.5
P01,privacy,P01,P01,True,335.2
P02,privacy,P02,P02,True,27.0
P03,privacy,P03,P03,True,266.9
P04,privacy,P04,P04,True,1284.2
P05,privacy,P05,P05,True,34.9
P06,privacy,P06,P06,True,301.3
