project,StartCoroutine,MonoBehaviour.Invoke,InvokeRepeating,SendMessage,SendMessageUpwards,BroadcastMessage,UnityEvent.Invoke,UnityEvent.AddListener,System.Type.GetMethod,System.Reflection.MethodInfo.Invoke,async_methods,await_expressions,Task_usage,Awaitable_usage,total_target_apis
0x0B-unity-vr_room,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
5A-Prototype-VR,49,0,1,0,0,0,11,13,4,1,5,4,4,0,79
6-Unity-VR-FactoryFrenzy,22,0,0,0,0,0,18,18,1,0,0,0,0,0,59
ARKADIUS,6,0,0,0,0,0,0,4,12,0,0,0,0,0,22
Alexandria,11,0,0,0,0,0,15,11,0,0,5,0,3,0,37
Arcadium,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Batting-Simulator,1,0,1,0,0,0,9,6,0,0,0,0,0,0,17
BowlingVR,6,0,0,0,0,0,3,9,0,0,0,0,0,0,18
CMP3754M-virtual-reality-assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSAssessmentFramework,26,0,0,0,0,0,8,20,1,0,0,0,3,0,55
Castle-Quest-The-Search-For-The-Treasure,19,0,0,0,0,0,47,82,0,0,0,0,0,0,148
Edutainment-Escape-Room,3,2,0,0,0,0,32,14,1,0,0,0,0,0,52
EsACT-IPB-Tour-VR-Project,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EscapeGameVR,55,0,0,0,0,0,8,9,1,0,0,0,0,0,73
EscapeQuest,15,1,3,0,0,0,35,22,0,0,0,0,0,0,76
ExPresS-XR,36,1,0,0,0,0,185,144,2,0,0,0,0,0,368
Faraday-experiment-VR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruit-Ninja-VR-Unity,20,1,0,0,0,0,7,14,1,0,0,0,0,0,43
GAS_VR,16,0,0,0,0,0,30,17,0,0,0,0,0,0,63
GOON,27,1,3,0,0,0,71,47,0,0,0,0,0,0,149
Grapple-Gunner,3,0,0,0,0,0,2,0,2,0,0,0,0,0,7
Graveyard-Roller-Coaster,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3
HoanKiemAirVR-Unity,210,12,2,32,0,0,1108,408,30,0,46,50,28,0,1802
HorrorGame,14,3,2,0,0,0,3,3,0,0,0,0,0,0,25
HyperFightVR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Island-Visualizer-PCVR,21,5,3,5,0,0,86,5,8,0,9,4,5,0,133
Kindled-Spirits-VR,26,0,0,0,0,0,10,6,1,0,0,0,0,0,43
La-volonte-de-fer,7,0,0,0,0,0,76,34,2,0,11,12,15,0,119
LatheMachine-VR,9,0,0,0,0,2,20,20,2,0,18,12,14,0,53
Let-s-Talk-About-Safety-VR,26,0,0,0,0,0,49,82,0,0,0,0,0,0,157
LightDiskVR,10,0,0,0,0,0,0,18,0,0,12,30,7,0,28
MRIExperience,3,2,0,0,0,0,1,0,1,0,0,0,0,0,7
MechaRacer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modern-Cupid-VR,28,0,0,10,0,0,148,51,4,0,34,35,49,0,241
