global_multidim_rank,name,url,composite_value_index,popularity_score,maintenance_score,unity_integrity_score,code_scale_score,security_surface_score,project_relevance_score,noise_penalty_score,multidim_tier,priority_tier,final_score,stars,forks,age_since_push_days,pushed_at,open_issues,structure_status,is_standard_unity_project,is_active_2y,is_recent_1y,cs_file_count,scene_count,has_packages_manifest,size_kb,security_surface_total,surface_network,surface_file,surface_archive,surface_deser,surface_dynamic,surface_native,negative_noise_signal,positive_project_signal,negative_filter_hit,positive_project_hit,description,topics,language,license,selection_note,selection_reason
1,icosa-foundation/open-brush,https://github.com/icosa-foundation/open-brush,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,115,1099,234,36,2026-06-22T11:29:37Z,103,standard_unity_project,TRUE,TRUE,TRUE,1001,13,TRUE,1106395,316,231,52,4,2,18,9,FALSE,TRUE,FALSE,TRUE,"Open Brush is the open source, community led evolution of Tilt Brush! Forked from https://github.com/googlevr/tilt-brush","ar, art, meta-quest, mr, openbrush, openxr, painting, quest, tiltbrush, unity, unity3d, virtual-reality, vr, xr",C#,Apache-2.0,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","1099 stars; pushed 36d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic,native"
2,finol-digital/Card-Game-Simulator,https://github.com/finol-digital/Card-Game-Simulator,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,117.14,428,89,37,2026-06-21T12:50:45Z,64,standard_unity_project,TRUE,TRUE,TRUE,468,7,TRUE,1271666,266,248,5,0,1,5,7,FALSE,TRUE,FALSE,TRUE,"Create, Share, and Play","card, card-game, card-games, game, mobile-game, simulator, unity",C#,MPL-2.0,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","428 stars; pushed 37d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
3,Cytoid/Cytoid,https://github.com/Cytoid/Cytoid,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,117.65,1106,128,38,2026-06-20T15:43:55Z,21,standard_unity_project,TRUE,TRUE,TRUE,291,6,TRUE,209995,53,14,12,1,4,19,3,FALSE,TRUE,FALSE,TRUE,A community-driven touchscreen music game.,"chart, community, customization, cytus, game, music-game, unity",C#,GPL-3.0,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","1106 stars; pushed 38d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic,native"
4,ipodtouch0218/NSMB-MarioVsLuigi,https://github.com/ipodtouch0218/NSMB-MarioVsLuigi,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,121.25,1063,383,39,2026-06-19T01:21:17Z,156,standard_unity_project,TRUE,TRUE,TRUE,626,17,TRUE,837998,125,14,16,2,5,23,65,FALSE,TRUE,FALSE,TRUE,"Standalone Unity remake of New Super Mario Bros DS' multiplayer gamemode, ""Mario vs Luigi""","game, game-development, mario, multiplayer, nintendo-ds, unity",C#,,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","1063 stars; pushed 39d ago; standard_unity_project; game/app keywords; security-surface:network,file,archive,deser,dynamic,native"
5,Taliayaya/Project-86,https://github.com/Taliayaya/Project-86,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,108.04,201,26,53,2026-06-05T22:03:17Z,34,standard_unity_project,TRUE,TRUE,TRUE,541,16,TRUE,665137,171,35,13,0,0,12,111,FALSE,TRUE,FALSE,TRUE,The repository of the project 86 game,"86, fangame, unity",C#,GPL-3.0,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","201 stars; pushed 53d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
6,planetarium/NineChronicles,https://github.com/planetarium/NineChronicles,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,112.23,406,174,63,2026-05-26T00:36:43Z,129,standard_unity_project,TRUE,TRUE,TRUE,1001,10,TRUE,3769326,80,29,17,0,6,21,7,FALSE,TRUE,FALSE,TRUE,"Unity client application for Nine Chronicles, a fully decentralized idle RPG powered by the community.","2d-game, blockchain, decentralized, hacktoberfest, hacktoberfest2024, mmorpg, unity, web3",C#,AGPL-3.0,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","406 stars; pushed 63d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
7,Voltstro-Studios/Team-Capture,https://github.com/Voltstro-Studios/Team-Capture,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,107.89,180,30,70,2026-05-19T14:44:18Z,2,standard_unity_project,TRUE,TRUE,TRUE,222,6,TRUE,805941,87,53,11,0,1,19,3,FALSE,TRUE,FALSE,TRUE,"Team-Capture - A multiplayer FPS game, inspired by games like Quake and TF2. Done in Unity","csharp, fps, fps-game, fps-shooter, indie, indie-dev, indie-game, indiegame, mirror, mirror-networking, multiplayer, multiplayer-game, shooter, shooter-game, team-capture, unity, unity-2021, unity-3d, unity3d",C#,AGPL-3.0,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","180 stars; pushed 70d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
8,PERRINN/project-424-unity,https://github.com/PERRINN/project-424-unity,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,99.04,145,62,84,2026-05-05T20:09:40Z,1,standard_unity_project,TRUE,TRUE,TRUE,617,109,TRUE,3396566,104,78,15,0,0,9,2,FALSE,TRUE,FALSE,TRUE,Simulation of the 424 in Unity using Vehicle Physics Pro,,C#,,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","145 stars; pushed 84d ago; standard_unity_project; game/app keywords; security-surface:network,file,dynamic,native"
9,randomerz/Slider,https://github.com/randomerz/Slider,97.52,100,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,103.62,106,56,87,2026-05-02T22:48:36Z,0,standard_unity_project,TRUE,TRUE,TRUE,748,46,TRUE,3519257,59,10,15,0,1,20,13,FALSE,TRUE,FALSE,TRUE,A 2D Puzzle-Exploration game based on 8 puzzle,unity,C#,,"composite=97.52; dimensions=pop:100,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","106 stars; pushed 87d ago; standard_unity_project; game/app keywords; security-surface:network,file,deser,dynamic,native"
10,Cuerzor/MinecraftVsZombies2Unity,https://github.com/Cuerzor/MinecraftVsZombies2Unity,96.65,95.19,92,100,100,100,92,0,A_active_standard_high_confidence,A_priority,96.49,126,12,40,2026-06-18T03:23:08Z,3,standard_unity_project,TRUE,TRUE,TRUE,1001,5,TRUE,1181510,297,249,0,0,18,30,0,FALSE,TRUE,FALSE,TRUE,"A fan game of Minecraft, Plants vs Zombies and Touhou Project.","fangame, game, minecraft, plants-vs-zombies, touhou-project",C#,GPL-3.0,"composite=96.65; dimensions=pop:95.19,maint:92,unity:100,scale:100,surface:100,relevance:92,penalty:0; tier=A_active_standard_high_confidence","126 stars; pushed 40d ago; standard_unity_project; game/app keywords; security-surface:network,deser,dynamic"
