project,CWE_id,commit_hash,commit_message,commit_date,files_changed,code_diff_summary
3Glasses_UnitySDK,CWE-355,39f0178e230b7e1dffc5e4c99f80e784cb2f2dab,add quick start,,1,"共 8 处添加, 1 处删除. 示例: 删除: ## version v6.0.0-beta; 添加: ## version: v6.0.0-beta2; 添加: "
3Glasses_UnitySDK,CWE-411,c1b2aa3e9fb3dfb26e716db69e8b8f755e515c7a,add lock cursor,,1,"共 4 处添加, 0 处删除. 示例: 添加: ; 添加: // lock cursor; 添加: Cursor.visible = false;"
AdGoBye_AdGoBye,CWE-1219,e83b338efe7a715bd692aaa9f0b266b81c6048ab,fix(Indexer): Fixed crash when directory does not contain __data,,1,"共 3 处添加, 1 处删除. 示例: 添加: using System.IO;; 添加: if (!File.Exists(directory + ""/__data"")) return;; 删除: }"
AdGoBye_AdGoBye,CWE-569,bcfd2f1358387836a1ce686bb1e9394b068b2a74,fix: grammar within contributing,,1,"共 11 处添加, 11 处删除. 示例: 删除: Instead, use terms like `Client` & `Game` (the thing to play the game), `Server` & `API` or `Service Provider` (the entity).; 添加: Instead, use terms like `Client` & `Game` (t"
AdGoBye_AdGoBye,CWE-411,e453c452e78fa3a9771a2f14cfb3bd13038ae825,"fix(Indexer): Fixed existing workaround for ""Deadlock of Hell""",,1,"共 13 处添加, 8 处删除. 示例: 添加: using System.Collections.Concurrent;; 删除: var contentList = new List<Content>();; 添加: var contentBag = new ConcurrentBag<Content>();"
AdGoBye_AdGoBye,CWE-371,2b07e2bbed7adc9a1b5e9e90463f05d0b1e00065,feat: Extract IndexContext into State component,,5,"共 27 处添加, 20 处删除. 示例: 删除: using DbContext = Microsoft.EntityFrameworkCore.DbContext;; 删除: public sealed class IndexContext : DbContext; 删除: {"
aestheticinteractive_Hover-UI-Kit,CWE-355,87966d824dbc785c7bc3cf26ec437ae99ec4ca17,UI easy of use improvements.,,1,"共 0 处添加, 0 处删除. 示例: "
aestheticinteractive_Hover-UI-Kit,CWE-355,d99fa44e2fa7f1ada8ae5efa16893c83c4f00bdf,"More optimizations with sprites, UI updates.",,32,"共 210 处添加, 115 处删除. 示例: 删除: serializedVersion: 2; 添加: serializedVersion: 4; 删除: forceTextureCase: -2"
aestheticinteractive_Hover-UI-Kit,CWE-355,2e456df998f0388c39211c1af995cbf6c0cfa6cc,Reduced UI draw calls in half by reorganizing to batch layers,,1,"共 0 处添加, 0 处删除. 示例: "
aestheticinteractive_Hover-UI-Kit,CWE-355,fa373b9bfe2ba40ed02fb57079019aef2afd502f,"Mix of lighting updates, fixed some highlight issues, and added a basic debug menu.",,51,"共 458 处添加, 28 处删除. 示例: 删除: fileIDToRecycleName: {}; 添加: fileIDToRecycleName:; 添加: 8900000: generatedCubemap"
aestheticinteractive_Hover-UI-Kit,CWE-1213,665fbe7d6d712b6b16f6f0a83882adf021fcd8c0,Random fixes.,,2,"共 19 处添加, 4 处删除. 示例: 添加: Assets/Scenes/ClashScene/Lightmap-0_comp_dir.exr; 添加: Assets/Scenes/ClashScene/Lightmap-0_comp_light.exr; 添加: Assets/Scenes/ClashScene/Lightmap-1_comp_dir.exr"
aggie-coding-club_the-brute-vr,CWE-1219,f9be5199e95f118eaedd55e6f113c2a0bc071d9e,Organizing the Folders,,149,"共 6598 处添加, 37143 处删除. 示例: 删除: # 3ds Max Wavefront OBJ Exporter v0.97b - (c)2007 guruware; 删除: # File Created: 04.11.2018 12:11:38; 删除: "
aggie-coding-club_the-brute-vr,CWE-387,2642ed7b83c9484fa224847e0d209f6fd9af4854,Tried Gesture. Failed.,,332,"共 98526 处添加, 642 处删除. 示例: 添加: fileFormatVersion: 2; 添加: guid: 0930a21dbcbac534d8b84c003a560c67; 添加: folderAsset: yes"
alanbrilliant_MolecularZoo,CWE-1219,fd1cbbf7f4d7f524f39e9320995d2f5431ec553c,"Remove files listed in Unity .gitignore

Remove files listed in Unity .gitignore.",,7,"共 0 处添加, 593 处删除. 示例: 删除: ; 删除: === Tue Jun  9 15:12:27 2020; 删除: "
alexnaraghi_clash-of-clones,CWE-355,87966d824dbc785c7bc3cf26ec437ae99ec4ca17,UI easy of use improvements.,,1,"共 0 处添加, 0 处删除. 示例: "
alexnaraghi_clash-of-clones,CWE-355,d99fa44e2fa7f1ada8ae5efa16893c83c4f00bdf,"More optimizations with sprites, UI updates.",,32,"共 210 处添加, 115 处删除. 示例: 删除: serializedVersion: 2; 添加: serializedVersion: 4; 删除: forceTextureCase: -2"
alexnaraghi_clash-of-clones,CWE-355,2e456df998f0388c39211c1af995cbf6c0cfa6cc,Reduced UI draw calls in half by reorganizing to batch layers,,1,"共 0 处添加, 0 处删除. 示例: "
alexnaraghi_clash-of-clones,CWE-355,fa373b9bfe2ba40ed02fb57079019aef2afd502f,"Mix of lighting updates, fixed some highlight issues, and added a basic debug menu.",,51,"共 458 处添加, 28 处删除. 示例: 删除: fileIDToRecycleName: {}; 添加: fileIDToRecycleName:; 添加: 8900000: generatedCubemap"
alexnaraghi_clash-of-clones,CWE-1213,665fbe7d6d712b6b16f6f0a83882adf021fcd8c0,Random fixes.,,2,"共 19 处添加, 4 处删除. 示例: 添加: Assets/Scenes/ClashScene/Lightmap-0_comp_dir.exr; 添加: Assets/Scenes/ClashScene/Lightmap-0_comp_light.exr; 添加: Assets/Scenes/ClashScene/Lightmap-1_comp_dir.exr"
alvinquach_jpl-trek-vr,CWE-1219,fa7d73396d9b57669d5261bf4ca6680abcdcfda6,remove untracked files,,1,"共 0 处添加, 0 处删除. 示例: "
alvinquach_jpl-trek-vr,CWE-1219,9970e21bdcff11516bd28812ea20869cad46f400,moved TiffInfo into its own file,,4,"共 47 处添加, 25 处删除. 示例: 添加: fileFormatVersion: 2; 添加: guid: 7caa47ccbf995d64486b18b229841a4e; 添加: folderAsset: yes"
alvinquach_jpl-trek-vr,CWE-1219,95bc82ff1eb8e70b66622d8e4bb68755cf9bb88c,gitignored .vscode folder,,2,"共 6 处添加, 59 处删除. 示例: 删除: sysinfo.txt; 添加: sysinfo.txt; 删除: #Visual Studio"
alvinquach_jpl-trek-vr,CWE-465,7f8b1e559c07748a2b204835c356d79e00ec7a85,fixed null reference,,1,"共 8 处添加, 5 处删除. 示例: 删除: ﻿using UnityEngine;; 添加: using UnityEngine;; 删除: Browser browser = UserInterfaceManager.Instance"
alvinquach_jpl-trek-vr,CWE-355,b34d5e3ad3fe48e7b33b8beb71e4c4cb8ceb651d,added item detail view to controller modal (#14),,15,"共 88 处添加, 52 处删除. 示例: 删除: int SearchListActiveIndex { get; set; }; 添加: int? SearchListActiveIndex { get; set; }; 删除: event Action<int> OnSearchListActiveIndexChange;"
alvinquach_jpl-trek-vr,CWE-399,bdf6d57f5b10cce33c305d36e60a83239dd20f04,removed unused service,,4,"共 0 处添加, 80 处删除. 示例: 删除: fileFormatVersion: 2; 删除: guid: 4338cedda0ae46a4e8d8322b5f36cecf; 删除: folderAsset: yes"
alvinquach_jpl-trek-vr,CWE-569,eec4f84061da585a001a2920a2ab2ee9b3387d3e,fixed typo in class name,,5,"共 3 处添加, 3 处删除. 示例: 删除: public class GenerateLocalTerrainMeshFromDigitalElevationModeTask : GenerateTerrainMeshFromDigitalElevationModelTask {; 添加: public class GenerateLocalTerrainMeshFromDigitalElev"
