project_path,project_type,build_method,target_framework,unity_version,note,host_dotnet_version,host_msbuild_version,host_unity_version
E:\1_my_project\dataset\repos\3Glasses_UnitySDK,unity,unity,,5.4.5f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\AdGoBye_AdGoBye\AdGoBye\AdGoBye.csproj,dotnet_project,dotnet,net8.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\AdGoBye_AdGoBye\AdGoBye.ExamplePlugin\AdGoBye.ExamplePlugin.csproj,dotnet_project,dotnet,net8.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\AdGoBye_AdGoBye\AdGoBye.Plugins\AdGoBye.Plugins.csproj,dotnet_project,dotnet,net8.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\AdGoBye_AdGoBye\AdGoBye.Tests\AdGoBye.Tests.csproj,dotnet_project,dotnet,net8.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\AdGoBye_AdGoBye\AdGoBye.Types\AdGoBye.Types.csproj,dotnet_project,dotnet,net8.0,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\aestheticinteractive_Hover-UI-Kit\Unity,unity,unity,,2017.3.1f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\aggie-coding-club_the-brute-vr,unity,unity,,2021.3.10f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\alanbrilliant_MolecularZoo,unity,unity,,2019.4.0f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\alanbrilliant_MolecularZoo\RBVI Vive.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\alanbrilliant_MolecularZoo\RBVI Vive.Editor.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\alexnaraghi_clash-of-clones,unity,unity,,5.5.0f3,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\alvinquach_jpl-trek-vr,unity,unity,,2018.3.5f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\ameliacode_ColoringPotVR,unity,unity,,2019.3.13f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\AmigoCap_ReViVD\ReViVD,unity,unity,,2019.1.9f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\AndreasRoither_Virtual-interaction-library\VRIL,unity,unity,,2019.3.10f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\arm0ky0_SteamVR_Toolkit_Unity,unity,unity,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\augcog_ISAACS_Interface,unity,unity,,2017.4.32f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\aura-hull_AuraVRGame\Aura VR,unity,unity,,2018.3.14f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Auros_SiraUtil\SiraUtil\SiraUtil.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Auros_SiraUtil\SiraUtil.Suite\SiraUtil.Suite.csproj,dotnet_project,dotnet,net472,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\azb_UnityVRTutorialMaker\UnityVRTutorialMaker,unity,unity,,2018.4.6f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\Barliesque_HandsOnVR\HandsOnVR.Unity,unity,unity,,2019.1.1f1,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\benaclejames_VRCFaceTracking\VRCFaceTracking\VRCFaceTracking.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\benaclejames_VRCFaceTracking\ALVRTrackingInterface\ALVRTrackingInterface.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\benaclejames_VRCFaceTracking\SRanipalExtTrackingModule\SRanipalExtTrackingModule.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\benaclejames_VRCFaceTracking\VRCFT Module Example\VRCFT Module Example.csproj,dotnet_project,unknown,,,,9.0.302,Unknown,Unknown
E:\1_my_project\dataset\repos\BioMotionLab_TUX\BML_TUX_Project,unity,unity,,2020.3.26f1,,9.0.302,Unknown,Unknown
