Project_ID,loc,category,apiName,contextInfo,severity
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e",Callback Definition,Start,Class: Task,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e",Callback Definition,Start,Class: Stopwatch,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.Private.CoreLib, Version=9.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e",Callback Definition,Start,Class: Thread,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"Mono.Posix.NETStandard, Version=1.0.0.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51",Callback Definition,Start,Class: UnixListener,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.ComponentModel.TypeConverter, Version=9.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a",Callback Definition,Start,Class: Timer,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.Diagnostics.DiagnosticSource, Version=9.0.0.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51",Callback Definition,Start,Class: MeterListener,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.Diagnostics.DiagnosticSource, Version=9.0.0.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51",Callback Definition,Start,Class: Activity,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.Diagnostics.Process, Version=9.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a",Callback Definition,Start,Class: Process,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.Net.HttpListener, Version=9.0.0.0, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51",Callback Definition,Start,Class: HttpListener,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,"System.Net.Sockets, Version=9.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a",Callback Definition,Start,Class: TcpListener,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,E:/1_my_project/dataset/vulnerability_dataset/CWE-465/Null Pointer/brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre/_code_subset/Unity/ValheimVR/Assets/Plugins/RootMotion/Baker/Scripts/GenericBaker.cs:46:14:46:18,Callback Definition,Awake,Class: GenericBaker,info
brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre,E:/1_my_project/dataset/vulnerability_dataset/CWE-465/Null Pointer/brandonmousseau_vhvr-mod_8476c6a49b512609fe35fcd2f3cc2910ce710cf4_pre/_code_subset/Unity/ValheimVR/Assets/Plugins/RootMotion/Baker/Scripts/Helpers/AvatarUtility.cs:35:32:35:93,Reflection/Dynamic Call,Invoke (Generic),Target: Type Argument,info
