Project Name,Path,Type,,Type,计数项:Type
3Glasses_UnitySDK,E:\1_my_project\dataset\repos\3Glasses_UnitySDK,Unity(C#),,.NET / C#,1
AdGoBye_AdGoBye,E:\1_my_project\dataset\repos\AdGoBye_AdGoBye,.NET / C#,,C# Project(VR Related),1
aestheticinteractive_Hover-UI-Kit,E:\1_my_project\dataset\repos\aestheticinteractive_Hover-UI-Kit,Unity(C#),,NativeVR(C++),1
aggie-coding-club_the-brute-vr,E:\1_my_project\dataset\repos\aggie-coding-club_the-brute-vr,Unity(C#),,Unity C# 插件化,44
alanbrilliant_MolecularZoo,E:\1_my_project\dataset\repos\alanbrilliant_MolecularZoo,Unity(C#),,Unity(C#),113
alexnaraghi_clash-of-clones,E:\1_my_project\dataset\repos\alexnaraghi_clash-of-clones,Unity(C#),,Unknown,25
alvinquach_jpl-trek-vr,E:\1_my_project\dataset\repos\alvinquach_jpl-trek-vr,Unity(C#),,,
ameliacode_ColoringPotVR,E:\1_my_project\dataset\repos\ameliacode_ColoringPotVR,Unity(C#),,,
AmigoCap_ReViVD,E:\1_my_project\dataset\repos\AmigoCap_ReViVD,Unity(C#),,,
AndreasRoither_Virtual-interaction-library,E:\1_my_project\dataset\repos\AndreasRoither_Virtual-interaction-library,Unity(C#),,,
arm0ky0_SteamVR_Toolkit_Unity,E:\1_my_project\dataset\repos\arm0ky0_SteamVR_Toolkit_Unity,Unity(C#),,,
augcog_ISAACS_Interface,E:\1_my_project\dataset\repos\augcog_ISAACS_Interface,Unity(C#),,,
aura-hull_AuraVRGame,E:\1_my_project\dataset\repos\aura-hull_AuraVRGame,Unity(C#),,,
Auros_SiraUtil,E:\1_my_project\dataset\repos\Auros_SiraUtil,Unity(C#),,,
azb_UnityVRTutorialMaker,E:\1_my_project\dataset\repos\azb_UnityVRTutorialMaker,Unity(C#),,,
Barliesque_HandsOnVR,E:\1_my_project\dataset\repos\Barliesque_HandsOnVR,Unity(C#),,,
benaclejames_VRCFaceTracking,E:\1_my_project\dataset\repos\benaclejames_VRCFaceTracking,Unity(C#),,,
BioMotionLab_TUX,E:\1_my_project\dataset\repos\BioMotionLab_TUX,Unity(C#),,,
BIVROST_360PlayerWindows,E:\1_my_project\dataset\repos\BIVROST_360PlayerWindows,Unknown,,,
bobsixtyfour_vrchat-asl,E:\1_my_project\dataset\repos\bobsixtyfour_vrchat-asl,Unknown,,,
BOLL7708_OpenVRNotificationPipe,E:\1_my_project\dataset\repos\BOLL7708_OpenVRNotificationPipe,Unity C# 插件化,,,
brandonmousseau_vhvr-mod,E:\1_my_project\dataset\repos\brandonmousseau_vhvr-mod,Unity C# 插件化,,,
CallumHoughton18_ChemViewAR,E:\1_my_project\dataset\repos\CallumHoughton18_ChemViewAR,Unity(C#),,,
ChanyaVRC_VRCOscLib,E:\1_my_project\dataset\repos\ChanyaVRC_VRCOscLib,Unity C# 插件化,,,
chychen_air_writing,E:\1_my_project\dataset\repos\chychen_air_writing,Unknown,,,
CircuitLord_NotReaper,E:\1_my_project\dataset\repos\CircuitLord_NotReaper,Unity(C#),,,
cjb3768_VR-Fearless,E:\1_my_project\dataset\repos\cjb3768_VR-Fearless,Unity(C#),,,
cog-ethz_EVE,E:\1_my_project\dataset\repos\cog-ethz_EVE,Unity(C#),,,
CognitiveVR_cvr-sdk-unity,E:\1_my_project\dataset\repos\CognitiveVR_cvr-sdk-unity,Unity(C#),,,
comp159-fall17_final-project-prefabulous,E:\1_my_project\dataset\repos\comp159-fall17_final-project-prefabulous,Unity(C#),,,
concord-consortium_CEASAR,E:\1_my_project\dataset\repos\concord-consortium_CEASAR,Unity(C#),,,
createthis_createthis_vr_ui,E:\1_my_project\dataset\repos\createthis_createthis_vr_ui,Unity(C#),,,
dakyneko_DakyModsCVR,E:\1_my_project\dataset\repos\dakyneko_DakyModsCVR,Unity C# 插件化,,,
danielcolinjames_Terminal,E:\1_my_project\dataset\repos\danielcolinjames_Terminal,Unity(C#),,,
dantman_elite-vr-cockpit,E:\1_my_project\dataset\repos\dantman_elite-vr-cockpit,Unity(C#),,,
DaXcess_LCVR,E:\1_my_project\dataset\repos\DaXcess_LCVR,C# Project(VR Related),,,
ddoak_peppy,E:\1_my_project\dataset\repos\ddoak_peppy,Unity(C#),,,
deanstein_CinderellaCityProject,E:\1_my_project\dataset\repos\deanstein_CinderellaCityProject,Unity(C#),,,
demonixis_C3DE,E:\1_my_project\dataset\repos\demonixis_C3DE,Unity C# 插件化,,,
dioram_Elektronik,E:\1_my_project\dataset\repos\dioram_Elektronik,Unity(C#),,,
dioram_Elektronik-Tools-2.0,E:\1_my_project\dataset\repos\dioram_Elektronik-Tools-2.0,Unity(C#),,,
doodlum_skyrim-community-shaders,E:\1_my_project\dataset\repos\doodlum_skyrim-community-shaders,Unknown,,,
dooly123_Basis,E:\1_my_project\dataset\repos\dooly123_Basis,Unity(C#),,,
DrBibop_RoR2VRMod,E:\1_my_project\dataset\repos\DrBibop_RoR2VRMod,Unity C# 插件化,,,
drew-thompson_flori-vr,E:\1_my_project\dataset\repos\drew-thompson_flori-vr,Unity(C#),,,
DSprtn_GTFO_VR_Plugin,E:\1_my_project\dataset\repos\DSprtn_GTFO_VR_Plugin,Unity C# 插件化,,,
durrantlab_protein-vr,E:\1_my_project\dataset\repos\durrantlab_protein-vr,Unknown,,,
Eclmist_Snowfield-VR,E:\1_my_project\dataset\repos\Eclmist_Snowfield-VR,Unity(C#),,,
edwonedwon_VR-Infinite-Gesture,E:\1_my_project\dataset\repos\edwonedwon_VR-Infinite-Gesture,Unity(C#),,,
EliaFantini_RocketMan-a-VR-videogame-created-with-Unity,E:\1_my_project\dataset\repos\EliaFantini_RocketMan-a-VR-videogame-created-with-Unity,Unity(C#),,,
esperecyan_VRMConverterForVRChat,E:\1_my_project\dataset\repos\esperecyan_VRMConverterForVRChat,Unity C# 插件化,,,
Eusth_VRGIN,E:\1_my_project\dataset\repos\Eusth_VRGIN,Unity C# 插件化,,,
ExtendRealityLtd_VRTK,E:\1_my_project\dataset\repos\ExtendRealityLtd_VRTK,Unity(C#),,,
ExtendRealityLtd_Zinnia.Unity,E:\1_my_project\dataset\repos\ExtendRealityLtd_Zinnia.Unity,Unity(C#),,,
Faceplant-Games_epicslash,E:\1_my_project\dataset\repos\Faceplant-Games_epicslash,Unity(C#),,,
Facepunch_sbox-tabletennis-vr,E:\1_my_project\dataset\repos\Facepunch_sbox-tabletennis-vr,Unity(C#),,,
FarahKamleh_Group4.Project3,E:\1_my_project\dataset\repos\FarahKamleh_Group4.Project3,Unity(C#),,,
fholger_farcry_vrmod,E:\1_my_project\dataset\repos\fholger_farcry_vrmod,Unknown,,,
FireEmerald_VRLabyrinth,E:\1_my_project\dataset\repos\FireEmerald_VRLabyrinth,Unity(C#),,,
fralvarezz_Intention-Prediction-VR-DNN,E:\1_my_project\dataset\repos\fralvarezz_Intention-Prediction-VR-DNN,Unity(C#),,,
framefield_vr-annotate,E:\1_my_project\dataset\repos\framefield_vr-annotate,Unity(C#),,,
fufjvnvnf_NYVRHack,E:\1_my_project\dataset\repos\fufjvnvnf_NYVRHack,Unity(C#),,,
futurerealitylab_Holojam,E:\1_my_project\dataset\repos\futurerealitylab_Holojam,Unity(C#),,,
GameLabGraz_Maroon,E:\1_my_project\dataset\repos\GameLabGraz_Maroon,Unknown,,,
gatosyocora_VRCAvatarEditor,E:\1_my_project\dataset\repos\gatosyocora_VRCAvatarEditor,Unity(C#),,,
gatosyocora_VRCPhotoAlbum,E:\1_my_project\dataset\repos\gatosyocora_VRCPhotoAlbum,Unity C# 插件化,,,
Geetchopra_TheGameOfPoles,E:\1_my_project\dataset\repos\Geetchopra_TheGameOfPoles,Unity(C#),,,
giveaphuk_SteamVR_Unity_Toolkit,E:\1_my_project\dataset\repos\giveaphuk_SteamVR_Unity_Toolkit,Unity(C#),,,
gompocp_VRChatMods,E:\1_my_project\dataset\repos\gompocp_VRChatMods,Unknown,,,
Gothic-UnZENity-Project_Gothic-UnZENity,E:\1_my_project\dataset\repos\Gothic-UnZENity-Project_Gothic-UnZENity,Unity(C#),,,
gpsnmeajp_EasyVirtualMotionCaptureForUnity,E:\1_my_project\dataset\repos\gpsnmeajp_EasyVirtualMotionCaptureForUnity,Unknown,,,
gpvigano_VRTK-GearVR-Test,E:\1_my_project\dataset\repos\gpvigano_VRTK-GearVR-Test,Unity(C#),,,
HalcyonGrid_halcyon,E:\1_my_project\dataset\repos\HalcyonGrid_halcyon,Unity C# 插件化,,,
halsafar_BeatSaberSongBrowser,E:\1_my_project\dataset\repos\halsafar_BeatSaberSongBrowser,Unknown,,,
